SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
17.405212,7.8,92.26010529413819
17.310297,7.8,90.44574926271582
17.285309,8.1,84.36989844743162
17.27985,8.1,84.26964613455873
17.276007,8.4,78.78349491374115
17.269173,7.300000000000001,99.38440369351068
17.084574,7.300000000000001,95.73788338558063
17.078259,6.8999999999999995,103.5969463860436
17.085773,6.500000000000001,112.0585999161849
17.069958,7.8,85.93211637446714
17.081081,7.699999999999999,88.00468805295009
17.076765,7.8,86.05836998631841
17.087688,7.6,90.01623204921431
17.088484,6.500000000000001,112.11598940362819
17.060572,5.8,126.80047434719292
