Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
35.014023,18.53333333333333,271.6131261915476
35.25345,29.76666666666667,30.104774736567474
35.582035,41.0,29.354344040169963
35.730896,40.84736842105263,26.17829007536459
35.68356,40.694736842105264,25.111899178622338
35.61813,40.54210526315789,24.245535048925614
35.59583,40.38947368421053,22.97902926249334
35.5561,40.23684210526316,21.909356597990442
35.560745,40.084210526315786,20.461738203218477
35.513996,39.93157894736842,19.51503799895562
35.356678,39.77894736842105,19.5564662869806
35.3418,39.626315789473686,18.357069640212153
35.317013,39.47368421052632,17.277917324280693
35.281067,39.321052631578944,16.3214847555488
35.243088,39.16842105263158,15.408241391081878
