PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
86.92574,44.0,1842.6194209470996
88.12253,58.0,907.3666976997629
88.85912,58.0,952.2854865231202
88.90008,58.0,954.8148092711926
88.992065,58.0,960.508119598031
89.097916,24.999999999999996,4108.5427905994
89.18354,24.999999999999996,4119.526851120463
89.06002,24.999999999999996,4103.686219641531
88.95947,24.999999999999996,4090.8141424655914
89.047356,24.999999999999996,4102.063765995263
89.20681,24.999999999999996,4122.51445006259
89.18654,24.999999999999996,4119.911749810213
89.028946,24.999999999999996,4099.70591599145
89.10002,27.0,3856.4126531986985
89.1613,27.0,3864.027299640933
