NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
14.876167,4.8999999999999995,99.52391394498062
14.788273,5.599999999999999,84.42435810692204
14.727279,4.8,98.55086257433724
14.767146,4.999999999999999,95.39714314453249
14.708886,3.1000000000000005,134.7662375634539
14.420804,4.0,108.59315650125154
14.4724455,3.3,124.82353818179692
14.733739,5.099999999999999,92.80892517855574
14.834114,4.6,104.73709089411656
14.686725,5.2,89.99794482741277
14.823256,1.5,177.50913815590684
14.921057,2.2,161.82528477150032
15.104116,5.099999999999999,100.08234574146354
15.379062,2.8,158.23279322507443
15.311023,1.6,187.9921450836631
