PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
114.1553,44.0,4921.765602544474
112.833374,58.0,3006.6989067941904
112.43043,58.0,2962.6714434140013
112.353294,58.0,2954.2806091500097
112.30288,58.0,2948.802703908237
112.21194,24.999999999999996,7605.92194669001
109.96017,24.999999999999996,7218.229964969272
109.893776,24.999999999999996,7206.953193340974
110.002235,24.999999999999996,7225.380025138671
109.79644,24.999999999999996,7190.436257789901
109.92315,24.999999999999996,7211.941254570207
109.86481,24.999999999999996,7202.035489026457
110.02083,24.999999999999996,7228.541235817829
110.0299,27.0,6893.964227115794
109.67147,27.0,6834.572058125923
