Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
34.424458,2.588888888888889,1013.5034319794289
34.441853,2.516666666666666,1019.2174949355813
34.396286,2.4444444444444438,1020.9201794777923
34.409035,2.372222222222222,1026.3573555946834
34.372894,2.2999999999999994,1028.6705479520933
34.35678,4.7,879.5246596295015
34.412556,9.1,640.7254757912183
34.478424,10.0,599.1932450616732
34.49046,7.2,744.7691765630158
34.437923,6.7,769.3923962860141
34.46937,7.1,749.0825124887568
34.479507,6.7,771.7010339584295
34.479996,5.2,857.3181498047057
34.461857,5.3,850.4138944756944
34.46815,10.425,578.0731144581927
