Actual,Predicted,MSE
0.0459016393442623,0.124052174,0.006107506127835408
0.06120218579234973,0.11089985,0.002469857899870057
0.06120218579234973,0.095479734,0.0011749503277155464
0.06120218579234973,0.095596656,0.0011829795948476672
0.06120218579234973,0.09247,0.0009776760617441576
0.02513661202185792,0.09135571,0.004384969098837856
0.02513661202185792,0.071902595,0.0021870572069753844
0.02513661202185792,0.078549,0.0028528829374862463
0.02513661202185792,0.07728566,0.002719523444227384
0.02513661202185792,0.07952203,0.0029577735326153202
0.02513661202185792,0.071063146,0.00210924652279904
0.02513661202185792,0.074616656,0.0024482747231191265
0.02513661202185792,0.07600781,0.0025878791108591595
0.027322404371584702,0.07245421,0.0020368795764907697
0.027322404371584702,0.063822374,0.001332247764466525
0.027322404371584702,0.05879903,0.000990777860012576
0.027322404371584702,0.059633456,0.0010440040683559956
0.027322404371584702,0.05838363,0.0009647996583956671
0.027322404371584702,0.056492284,0.0008508818740542436
0.027322404371584702,0.05574672,0.0008079416758037517
0.027322404371584702,0.055133656,0.0007734656986337035
0.021857923497267763,0.058938228,0.0013749489518986304
0.021857923497267763,0.08143888,0.0035498899831734685
0.021857923497267763,0.09897691,0.005947338096836199
0.021857923497267763,0.102492616,0.006501953567367155
0.022950819672131147,0.0948313,0.005166803849237459
0.022950819672131147,0.09679242,0.005452582269054461
0.022950819672131147,0.12407455,0.010226008528592892
0.022950819672131147,0.08915926,0.004383557267411673
0.030601092896174867,0.08056335,0.0024962272859901224
0.030601092896174867,0.08275155,0.0027196701532301707
0.030601092896174867,0.084487125,0.002903704485803293
0.030601092896174867,0.11782458,0.007607936143466255
0.034972677595628415,0.10296022,0.0046223061219883305
0.034972677595628415,0.091214776,0.003163173637327796
0.034972677595628415,0.08220738,0.0022311172742186794
0.034972677595628415,0.0748656,0.001591445414089694
0.0896174863387978,0.07613977,0.00018164882562746087
0.0896174863387978,0.14471711,0.003035968768233983
0.0896174863387978,0.089861654,5.961772233667694e-08
0.0896174863387978,0.09162077,4.0131577555012946e-06
0.06557377049180327,0.09044374,0.0006185152741539866
0.06557377049180327,0.08486193,0.00037203297124065486
0.06557377049180327,0.086540855,0.00043961865237051803
0.06557377049180327,0.09317907,0.0007620525310925131
0.07759562841530054,0.111793354,0.0011694844456742143
0.07759562841530054,0.1329625,0.003065489925216401
0.07759562841530054,0.1129842,0.0012523511971357887
0.07759562841530054,0.108676694,0.000966032658614774
0.0459016393442623,0.10716561,0.00375327437991599
0.0459016393442623,0.08762933,0.001741200429382816
0.0459016393442623,0.0836956,0.0014283833068385288
0.0459016393442623,0.0864386,0.001643245479114082
0.022950819672131147,0.079820596,0.003234171423374817
0.022950819672131147,0.07029861,0.002241813449475043
0.022950819672131147,0.07930274,0.003175539271459553
0.022950819672131147,0.106112264,0.006915825838786794
0.03169398907103825,0.10354682,0.005162829395993106
0.03169398907103825,0.09425963,0.003914459069905662
0.03169398907103825,0.08307909,0.0026404288240437735
0.03169398907103825,0.08300218,0.002632530442146168
0.05245901639344262,0.08463598,0.0010353570144339096
0.05245901639344262,0.09222579,0.001581396284968382
0.05245901639344262,0.09224329,0.0015827885407912231
0.05245901639344262,0.090993635,0.0014849168586223364
0.04371584699453552,0.09992575,0.0031595530839009156
0.04371584699453552,0.09376338,0.002504755684326409
0.04371584699453552,0.09456526,0.0025856625416421143
0.04371584699453552,0.08123686,0.0014078265404885734
0.046994535519125684,0.071433134,0.0005972451141362286
0.046994535519125684,0.06358375,0.00027520192270874473
0.046994535519125684,0.064024895,0.0002900331586806724
0.046994535519125684,0.06402135,0.0002899123757203765
0.036065573770491806,0.061598405,0.0006519254829507157
0.036065573770491806,0.053323418,0.0002978331840671832
0.036065573770491806,0.059453614,0.0005470004284017175
0.036065573770491806,0.055282846,0.000369303555524273
0.027322404371584702,0.058149233,0.0009502933916726524
0.027322404371584702,0.05248911,0.0006333630388328622
0.027322404371584702,0.054226384,0.0007238240965396116
0.027322404371584702,0.05773226,0.00092475942378794
0.036065573770491806,0.074405394,0.00146994185315166
0.036065573770491806,0.10153133,0.004285764815895067
0.036065573770491806,0.08831101,0.002729585513712355
0.036065573770491806,0.09277014,0.003215407478891331
0.05901639344262295,0.10996371,0.002595628822486072
0.05901639344262295,0.11298449,0.0029125558102920954
0.05901639344262295,0.10889119,0.002487495241701343
0.05901639344262295,0.11714396,0.003378813855188947
0.06557377049180327,0.10536319,0.001583197918654164
0.06557377049180327,0.09865913,0.0010946408781808783
0.06557377049180327,0.10722857,0.0017351222959432438
0.06557377049180327,0.10118309,0.0012680233960922832
0.04918032786885246,0.09565379,0.0021597824273425965
0.04918032786885246,0.080829136,0.0010016470607802197
0.04918032786885246,0.072675146,0.0005520064866519813
0.04918032786885246,0.0712274,0.0004860734554758824
0.041530054644808745,0.06754914,0.0006769927642773076
0.041530054644808745,0.06340073,0.0004783264619553736
0.041530054644808745,0.062061816,0.0004215532429866427
0.041530054644808745,0.05928661,0.00031529523293976665
0.046994535519125684,0.06356722,0.0002746539095071367
0.046994535519125684,0.06279603,0.00024968711621611026
0.046994535519125684,0.05726596,0.00010550215429424458
0.046994535519125684,0.058504052,0.00013246898021673014
0.0546448087431694,0.05700592,5.574844081985569e-06
0.0546448087431694,0.057597704,8.719591766414974e-06
0.0546448087431694,0.06934437,0.00021607714692468136
0.0546448087431694,0.087853365,0.0011028081851803023
0.04918032786885246,0.067912325,0.00035088772637522606
0.04918032786885246,0.060908474,0.00013754941233291927
0.04918032786885246,0.08693383,0.0014253268393782255
0.04918032786885246,0.06654566,0.00030155468408817586
0.05573770491803279,0.06757123,0.00014003232137323911
0.05573770491803279,0.06337446,5.8320024264293026e-05
0.05573770491803279,0.068432815,0.00016116582946239287
0.05573770491803279,0.058469422,7.462279098688438e-06
0.042622950819672135,0.05218058,9.134829074167769e-05
0.042622950819672135,0.045640893,9.107976696904771e-06
0.042622950819672135,0.047922656,2.8086874363021332e-05
0.042622950819672135,0.04530643,7.201056576895475e-06
0.042622950819672135,0.046028815,1.1599912244387696e-05
0.042622950819672135,0.04639238,1.4208605326201246e-05
0.042622950819672135,0.04979378,5.14207889822804e-05
0.042622950819672135,0.05434127,0.00013731904002778635
0.07868852459016393,0.05122909,0.0007540205755522116
0.07868852459016393,0.063269295,0.00023775264737201663
0.07868852459016393,0.06311389,0.00024256922429252874
0.07868852459016393,0.06201253,0.0002780887667789032
0.0907103825136612,0.06449735,0.000687122987246765
0.0907103825136612,0.06851479,0.0004926444752692655
0.0907103825136612,0.06543453,0.0006388687012147467
0.0907103825136612,0.06488515,0.0006669427936792202
0.07103825136612021,0.06621051,2.3307102662935382e-05
0.07103825136612021,0.060656033,0.00010779044872646148
0.07103825136612021,0.056240752,0.0002189659774468778
0.07103825136612021,0.055613868,0.00023791160412167366
0.06120218579234973,0.05499064,3.858327910746191e-05
0.06120218579234973,0.055311747,3.469727039972015e-05
0.06120218579234973,0.05193706,8.584258248337177e-05
0.06120218579234973,0.055687636,3.04102579012222e-05
0.0546448087431694,0.06343446,7.725795636705662e-05
0.0546448087431694,0.0529084,3.015121536220648e-06
0.0546448087431694,0.05146233,1.012817143378335e-05
0.0546448087431694,0.0501064,2.0597165163782027e-05
0.05573770491803279,0.05442615,1.7201801489664206e-06
0.05573770491803279,0.06147617,3.292999316547388e-05
0.05573770491803279,0.05855158,7.917891366374467e-06
0.05573770491803279,0.057032794,1.6772551093642063e-06
0.05792349726775956,0.057646662,7.663776722431513e-08
0.05792349726775956,0.06779902,9.752588668947785e-05
0.05792349726775956,0.06706564,8.357879721347886e-05
0.05792349726775956,0.0700355,0.00014670066625390257
0.07759562841530054,0.068153694,8.915012036564428e-05
0.07759562841530054,0.0727159,2.3811741225006747e-05
0.07759562841530054,0.07015207,5.5406611783522535e-05
0.07759562841530054,0.07469925,8.388991450856006e-06
0.10163934426229508,0.07351523,0.0007909658633853601
0.10163934426229508,0.073607616,0.0007857777822770331
0.10163934426229508,0.069324076,0.0010442765515091765
0.10163934426229508,0.07344339,0.0007950118125681838
0.09180327868852459,0.077566266,0.0002026925285883139
0.09180327868852459,0.07309568,0.00034997427551226753
0.09180327868852459,0.07430824,0.00030607641637805423
0.09180327868852459,0.0695257,0.0004962906754190215
0.10819672131147541,0.06686654,0.0017081839352901188
0.10819672131147541,0.0643446,0.0019230085572837113
0.10819672131147541,0.06325433,0.002019818844024028
0.10819672131147541,0.06744199,0.001660947923620235
0.1092896174863388,0.06337529,0.0021081257662362335
0.1092896174863388,0.06348394,0.0020981602205478187
0.1092896174863388,0.060919493,0.0023396689005664795
0.1092896174863388,0.06715451,0.0017753671304110924
0.07650273224043715,0.07751101,1.0166291910586029e-06
0.07650273224043715,0.08334227,4.677926394713724e-05
0.07650273224043715,0.07724031,5.440218502743792e-07
0.07650273224043715,0.07689323,1.5249065797625834e-07
0.05792349726775956,0.07554493,0.00031051492658628075
0.05792349726775956,0.06461582,4.478722810319905e-05
0.05792349726775956,0.06763425,9.4298665089486e-05
0.05792349726775956,0.074015945,0.0002589668803280135
0.05792349726775956,0.08171473,0.0005660226114347554
0.05792349726775956,0.089212835,0.0009790226454000086
0.05792349726775956,0.086508185,0.0008170843539639533
0.05792349726775956,0.084969275,0.0007314740768974074
0.05573770491803279,0.07985798,0.0005817878000430123
0.05573770491803279,0.08255814,0.0007193357464963165
0.05573770491803279,0.0917489,0.0012968062224780529
0.05573770491803279,0.08358184,0.0007752959966861417
0.06557377049180327,0.08221459,0.00027691675531354363
0.06557377049180327,0.08234687,0.00028133691727172134
0.06557377049180327,0.08817081,0.0005106262638594659
0.06557377049180327,0.09117143,0.000655240098638296
0.06994535519125683,0.09805396,0.000790093776293615
0.06994535519125683,0.101920664,0.0010224203932682981
0.06994535519125683,0.10546668,0.001261764426554614
0.06994535519125683,0.09804774,0.0007897440745118457
0.08524590163934426,0.09156496,3.993050839478985e-05
0.08524590163934426,0.09149304,3.902674173604462e-05
0.08524590163934426,0.08292228,5.399218290798352e-06
0.08524590163934426,0.09549163,0.00010497500740937063
0.11038251366120218,0.09572766,0.00021476474280972605
0.11038251366120218,0.10003783,0.00010701251961241649
0.11038251366120218,0.09789635,0.0001559042227831198
0.11038251366120218,0.0994723,0.00011903277919277784
0.10710382513661201,0.10076091,4.0232611315662645e-05
0.10710382513661201,0.09551863,0.00013421666008402904
0.10710382513661201,0.08318807,0.0005719632554114066
0.10710382513661201,0.080427,0.0007116530827904258
0.10163934426229508,0.075488284,0.0006838779408005546
0.10163934426229508,0.057951003,0.001908671134896211
0.10163934426229508,0.057404064,0.0019567600515540424
