NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
15.519771,14.4,1.2538862464618061
15.266835,16.5,1.5206953926181086
15.151637,21.4,39.04203921337788
15.976026,18.5,6.370446865949816
16.143383,13.7,5.970120612346221
16.453205,19.0,6.486164218644262
16.299246,28.6,151.30855304374145
16.94806,16.4,0.30036875739693797
16.537233,16.6,0.003939652018161902
16.815933,15.300000000000002,2.2980535503569914
18.338211,25.0,44.3794318868313
18.877138,29.0,102.47233228083132
19.237429,20.1,0.7440293076857076
19.201534,20.7,2.2453995402675333
19.22708,22.3,9.442841066270052
