NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
20.456581,28.4,63.0979035710939
21.025967,20.7,0.10625425318779935
21.873323,17.2,21.839951980010525
21.258802,12.8,71.55133827808443
21.569078,18.8,7.667795436970333
22.439417,14.0,71.22375736516915
20.22185,33.7,181.66054247683053
20.7317,20.6,0.01734512632770892
19.912874,40.5,423.8297478073546
21.053446,11.3,95.12970528642893
20.402542,25.0,21.136619011173025
20.744793,19.8,0.8926336961338516
20.348942,14.3,36.58969693582097
20.709652,10.4,106.28892326872388
20.117844,8.8,128.09358438626862
