Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
37.84936,18.53333333333333,373.10894103244584
38.237785,29.76666666666667,71.75985156677685
38.727806,41.0,5.162865158694331
38.98913,40.84736842105263,3.453057043240956
38.939972,40.694736842105264,3.079199918416176
38.886883,40.54210526315789,2.739761462188683
38.77621,40.38947368421053,2.602617182252742
38.72641,40.23684210526316,2.2814054101153456
38.759964,40.084210526315786,1.7536288909100353
38.706707,39.93157894736842,1.5003112856558642
38.65479,39.77894736842105,1.2637321026108284
38.638344,39.626315789473686,0.9760886301797435
38.614197,39.47368421052632,0.7387186477987664
38.597736,39.321052631578944,0.523186430694555
38.511395,39.16842105263158,0.43168388990049644
