SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
24.590704,7.8,281.92773961452315
24.715912,7.8,286.1480742323771
24.88699,8.1,281.803019612474
24.771318,8.1,277.9328583834752
24.831367,8.4,269.98983767936244
24.997581,7.300000000000001,313.20439030967884
24.579264,7.300000000000001,298.5729535695004
24.673927,6.8999999999999995,315.91249191910265
24.517534,6.500000000000001,324.63154066546485
24.734617,7.8,286.7812608375809
24.613794,7.699999999999999,286.07643852869063
24.678251,7.8,284.87536581441657
24.601055,7.6,289.0358760522963
24.670338,6.500000000000001,330.16117129627673
24.559265,5.8,351.9100284697115
